BlobName,NumZeroCells,NumNonZerosCells
conv1_3x3_s2,5353373.7931,16060121.3793
conv2_3x3_s1,6875139.31034,14107944.8276
conv3_3x3_s1,6644408.27586,76016226.2069
conv4_3x3_reduce,1718449.65517,29171040.0
conv4_3x3,18034386.2069,158607732.414
inception_a1_1x1,128540.689655,4424507.58621
inception_a1_5x5_reduce,381715.862069,2192507.58621
inception_a1_5x5,2545295.17241,2834015.17241
inception_a1_3x3_reduce,661151.37931,3891896.89655
inception_a1_3x3_1,6002972.06897,5094363.10345
inception_a1_3x3_2,5367302.06897,5730033.10345
inception_a1_pool_proj,467176.551724,688597.241379
inception_a2_1x1,681190.344828,3871857.93103
inception_a2_5x5_reduce,342335.172414,2231888.27586
inception_a2_5x5,2387364.82759,2991945.51724
inception_a2_3x3_reduce,772981.034483,3780067.24138
inception_a2_3x3_1,6126615.51724,4970719.65517
inception_a2_3x3_2,5973966.2069,5123368.96552
inception_a2_pool_proj,2892520.34483,1660527.93103
inception_a3_1x1,2775466.55172,1777581.72414
inception_a3_5x5_reduce,1504070.68966,1070152.75862
inception_a3_5x5,1819102.75862,3560207.58621
inception_a3_3x3_reduce,1512909.31034,3040138.96552
inception_a3_3x3_1,7863547.24138,3233787.93103
inception_a3_3x3_2,2009446.55172,9087888.62069
inception_a3_pool_proj,4131191.37931,421856.896552
reduction_a_3x3,35389465.8621,8656658.27586
reduction_a_3x3_2_reduce,2778098.27586,1774950.0
reduction_a_3x3_2,8903703.10345,2193632.06897
reduction_a_3x3_3,1390115.17241,1384218.62069
inception_b1_1x1_2,6923351.37931,2353426.55172
inception_b1_1x7_reduce,3195743.7931,937950.0
inception_b1_1x7,2898337.24138,2362727.58621
inception_b1_7x1,6824281.03448,4982527.24138
inception_b1_7x1_reduce,2612414.48276,1521279.31034
inception_b1_7x1_2,3735780.0,1525284.82759
inception_b1_1x7_2,3300730.34483,1960334.48276
inception_b1_7x1_3,2938405.86207,2322658.96552
inception_b1_1x7_3,9193720.34483,2613087.93103
inception_b1_1x1,7375594.13793,1901183.7931
inception_b2_1x1_2,5230440.0,4046337.93103
inception_b2_1x7_reduce,4424448.62069,2024434.13793
inception_b2_1x7,4971553.44828,3236115.51724
inception_b2_7x1,8767051.03448,3039757.24138
inception_b2_7x1_reduce,3952582.75862,2496300.0
inception_b2_7x1_2,4681773.10345,3525895.86207
inception_b2_1x7_2,5274274.13793,2933394.82759
inception_b2_7x1_3,4429871.37931,3777797.58621
inception_b2_1x7_3,7458152.06897,4348656.2069
inception_b2_1x1,5800858.96552,3475918.96552
inception_b3_1x1_2,3591168.62069,5685609.31034
inception_b3_1x7_reduce,3884028.62069,2564854.13793
inception_b3_1x7,5312300.68966,2895368.27586
inception_b3_7x1,7235233.44828,4571574.82759
inception_b3_7x1_reduce,3953419.65517,2495463.10345
inception_b3_7x1_2,4796929.65517,3410739.31034
inception_b3_1x7_2,4814517.93103,3393151.03448
inception_b3_7x1_3,3455665.86207,4752003.10345
inception_b3_1x7_3,7371533.7931,4435274.48276
inception_b3_1x1,6954153.10345,2322624.82759
inception_b4_1x1_2,5626608.62069,3650169.31034
inception_b4_1x7_reduce,6191231.37931,3085546.55172
inception_b4_1x7,5264434.13793,6542374.13793
inception_b4_7x1,9911749.65517,1895058.62069
inception_b4_7x1_reduce,5147355.51724,4129422.41379
inception_b4_7x1_2,5950941.72414,5855866.55172
inception_b4_1x7_2,5194999.65517,6611808.62069
inception_b4_7x1_3,5170333.44828,6636474.82759
inception_b4_1x7_3,9008320.34483,2798487.93103
inception_b4_1x1,7485849.31034,1790928.62069
reduction_b_3x3_reduce,4853704.13793,4423073.7931
reduction_b_3x3,5715440.68966,1935428.27586
reduction_b_1x7_reduce,3871103.7931,5405674.13793
reduction_b_1x7,5080149.31034,6726658.96552
reduction_b_7x1,6831132.41379,4975675.86207
reduction_b_3x3_2,1786877.58621,973155.517241
inception_c1_1x1_2,3983148.62069,1329954.82759
inception_c1_1x3_reduce,4933480.34483,2713416.2069
inception_c1_1x3,7807758.62069,1368517.24138
inception_c1_3x1,8079217.24138,1097058.62069
inception_c1_3x3_reduce,8163553.44828,2240860.34483
inception_c1_3x3,5501981.37931,5509549.65517
inception_c1_1x3_2,7798659.31034,1377616.55172
inception_c1_3x1_2,7125739.65517,2050536.2069
inception_c1_1x1,1350644.48276,566045.172414
inception_c2_1x1_2,2749468.96552,2563634.48276
inception_c2_1x3_reduce,6673357.24138,973539.310345
inception_c2_1x3,7244961.72414,1931314.13793
inception_c2_3x1,6669716.89655,2506558.96552
inception_c2_3x3_reduce,7964375.17241,2440038.62069
inception_c2_3x3,7827123.10345,3184407.93103
inception_c2_1x3_2,6639739.65517,2536536.2069
inception_c2_3x1_2,6538652.06897,2637623.7931
inception_c2_1x1,1064782.75862,851906.896552
