Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	20.381443	9.572774	70.0	9.0	20.381443	-0.2569911	0.068806976	-0.04863075	-0.43767667	4000	0.0058836015	212.07071	0.0	-129.40259	0.68870854	-8.940697e-11	0.816842794418335
1	21.763737	11.2900915	82.0	10.0	21.763737	7.7534385	0.28118488	8.096844	6.0872483	8000	0.0062632766	109.66437	0.0	-34.83871	0.68952644	-8.0466267e-10	1.512988805770874
2	21.543957	11.582752	84.0	9.0	21.543957	11.341524	2.8164492	13.1093645	-6.593933	12000	0.0052519627	86.8723	0.0	-6.2740326	0.6900027	-1.296401e-09	2.217775344848633
3	24.66875	13.052645	74.0	9.0	24.66875	12.8162985	3.4218986	14.91999	-4.6241765	16000	0.0029100135	91.3489	0.0	-6.979274	0.69054794	1.296401e-09	2.9407029151916504
4	22.556818	11.9457655	63.0	9.0	22.556818	14.085104	4.480398	16.897388	-5.2290435	20000	0.0003339816	76.85477	0.0	-1.1851845	0.6906619	1.4901164e-11	3.6050162315368652
5	22.602339	11.146278	66.0	8.0	22.602339	13.748905	4.067644	16.27977	-2.3612216	24000	-0.0008777827	83.53589	0.0	-0.88713074	0.69090414	-7.4505807e-10	4.333093881607056
6	22.305084	11.538079	78.0	9.0	22.305084	13.629319	4.445211	16.481762	-3.4768174	28000	-0.0026333192	71.46059	0.0	-6.167845	0.69103634	-2.9802324e-10	5.0494818687438965
7	23.553572	13.754548	83.0	10.0	23.553572	12.544422	4.299212	16.76292	-0.8952344	32000	-0.006929766	96.86191	0.0	-11.360166	0.6905777	-8.940698e-11	5.718890905380249
8	24.41358	13.655662	89.0	9.0	24.41358	14.227116	5.0215106	18.896696	-0.33839855	36000	-0.009248095	84.36925	0.0	-6.490324	0.6905408	1.0430817e-10	6.429488182067871
9	24.14375	14.028029	88.0	9.0	24.14375	14.618955	5.2486386	19.781942	-1.5760189	40000	-0.010822136	97.02415	0.0	-4.8483334	0.6897945	3.2037495e-10	7.179352045059204
10	27.737589	17.184294	110.0	9.0	27.737589	15.4357815	5.647976	20.833904	-0.002276916	44000	-0.014044248	112.36032	0.0	-8.867638	0.6893159	5.8859584e-10	7.8509440422058105
11	26.05921	16.558203	123.0	9.0	26.05921	16.724817	6.4982033	22.765059	-1.9681509	48000	-0.016824555	110.97263	0.0	-6.761462	0.68890846	-7.4505807e-10	8.527114391326904
12	27.865248	14.755319	82.0	9.0	27.865248	16.255915	6.7862372	23.191334	-1.0569329	52000	-0.017773876	82.296875	0.0	-3.7100477	0.6882967	8.195636e-11	9.245841026306152
13	29.058823	18.340635	95.0	9.0	29.058823	15.853846	6.568644	22.877645	-0.1397112	56000	-0.016083024	126.83258	0.0	-9.695631	0.6873615	1.7732382e-09	9.95827031135559
14	27.212328	14.015261	99.0	10.0	27.212328	17.8889	6.882559	24.189526	0.15005913	60000	-0.022250026	80.27921	0.0	-8.076954	0.6863461	7.376075e-10	10.629510641098022
15	25.245033	14.77019	107.0	9.0	25.245033	15.415945	6.5101194	22.510101	0.72419024	64000	-0.02199947	105.8286	0.0	-2.5457325	0.68546	9.164214e-10	11.355029344558716
16	26.732876	14.428516	96.0	9.0	26.732876	15.955995	7.086196	23.690645	-0.07801326	68000	-0.026740553	79.3945	0.0	-2.2396545	0.68441576	4.3213366e-10	12.054288625717163
