Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-200.0	0.0	-200.0	-200.0	200.0	-0.0738951	0.0048471307	-0.058425345	-0.0877269	4000	0.0008512251	3836.9023	0.0	-950.198	1.0914502	-7.7486045e-10	1.0294816493988037
1	-200.0	0.0	-200.0	-200.0	200.0	-9.204823	0.04756424	-9.0369	-9.315608	8000	-0.0015722292	2936.3928	0.0	-558.5909	1.0924833	2.0861624e-10	1.852649211883545
2	-200.0	0.0	-200.0	-200.0	200.0	-15.39033	0.02734807	-15.125733	-15.461249	12000	0.0017352004	2408.7876	0.0	-416.80548	1.0916116	1.2516975e-09	2.8029003143310547
3	-200.0	0.0	-200.0	-200.0	200.0	-20.600296	0.012907295	-20.520065	-20.63261	16000	-0.00010550776	2016.9456	0.0	-335.4325	1.091645	-1.0430812e-10	3.6982510089874268
4	-200.0	0.0	-200.0	-200.0	200.0	-25.319496	0.00900963	-25.263006	-25.342085	20000	0.0017044996	1703.0098	0.0	-273.05786	1.0918434	-1.6540289e-09	4.73197865486145
5	-200.0	0.0	-200.0	-200.0	200.0	-29.660074	0.0066003916	-29.628002	-29.674124	24000	-0.0012788307	1448.7671	0.0	-221.66443	1.092468	3.427267e-10	5.707611083984375
6	-200.0	0.0	-200.0	-200.0	200.0	-33.65979	0.0072033815	-33.600883	-33.673424	28000	-0.0012234933	1243.7228	0.0	-178.48676	1.0925596	2.3841862e-10	7.134838819503784
7	-200.0	0.0	-200.0	-200.0	200.0	-37.340973	0.0043671797	-37.32156	-37.34975	32000	-0.0030755252	1079.7858	0.0	-142.05005	1.0923624	1.1920925e-10	8.047518968582153
8	-200.0	0.0	-200.0	-200.0	200.0	-40.711117	0.0046608695	-40.690334	-40.719555	36000	0.0009795338	950.5528	0.0	-111.53514	1.0916833	5.364419e-10	9.010037422180176
9	-200.0	0.0	-200.0	-200.0	200.0	-43.779243	0.0038746467	-43.76079	-43.786144	40000	-4.387379e-05	850.2655	0.0	-86.236664	1.0912012	1.937151e-10	9.883845090866089
10	-200.0	0.0	-200.0	-200.0	200.0	-46.551857	0.0035330914	-46.537766	-46.55872	44000	0.0011789562	773.7713	0.0	-65.541595	1.0907186	-5.9604655e-11	10.79882550239563
11	-200.0	0.0	-200.0	-200.0	200.0	-49.03699	0.002771188	-49.02395	-49.04228	48000	-0.00014397793	716.7025	0.0	-48.903366	1.0904423	1.1175871e-09	11.662559270858765
12	-200.0	0.0	-200.0	-200.0	200.0	-51.244255	0.002770893	-51.23237	-51.250084	52000	0.005490753	675.07385	0.0	-35.767212	1.0901663	-2.2351743e-10	12.590155363082886
13	-200.0	0.0	-200.0	-200.0	200.0	-53.185028	0.0034003442	-53.168377	-53.19092	56000	-0.0008247728	645.5342	0.0	-25.612473	1.0905592	6.407499e-10	13.393341064453125
14	-200.0	0.0	-200.0	-200.0	200.0	-54.87369	0.0031834804	-54.849186	-54.879555	60000	-0.0016998001	625.2222	0.0	-17.932343	1.0907823	7.748604e-10	14.255484580993652
15	-200.0	0.0	-200.0	-200.0	200.0	-56.326157	0.0023262778	-56.31226	-56.33066	64000	-0.0011068911	611.73584	0.0	-12.260101	1.0907428	-8.940696e-10	15.112699508666992
16	-200.0	0.0	-200.0	-200.0	200.0	-57.560173	0.0023324713	-57.549328	-57.56521	68000	0.0015534702	603.1981	0.0	-8.178482	1.0905669	1.4454127e-09	15.897417306900024
17	-200.0	0.0	-200.0	-200.0	200.0	-58.595272	0.0024064388	-58.585518	-58.59995	72000	0.00015546824	598.06757	0.0	-5.3156586	1.0905783	-1.0579824e-09	16.82556438446045
