Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-35.01329	1.0246052	-33.78557	-36.56714	999.0	0.06536354	0.002428715	0.0716282	0.057559982	4000	-0.16628526	11.040516	0.0	-10.47373	0.91893834	-1.1995435e-09	0.6992807388305664
1	-36.531494	2.0718765	-34.157166	-39.581345	999.0	-3.1385713	0.03392844	-3.0365388	-3.207241	8000	-0.08886777	0.7815976	0.0	-0.027874157	0.9186383	5.438924e-10	1.3422844409942627
2	-36.607162	0.6552189	-35.879143	-37.526463	999.0	-3.2927275	0.027169477	-3.1569295	-3.3425708	12000	-0.07600299	0.6018944	0.0	-0.002748698	0.9183559	-3.6507844e-10	2.014918327331543
3	-37.78949	0.78546697	-36.98546	-39.09171	999.0	-3.2876773	0.015380488	-3.219338	-3.3190267	16000	-0.08007055	0.6371207	0.0	-0.022000425	0.91808146	-7.3015693e-10	2.7339537143707275
4	-37.949112	1.1725038	-35.998783	-38.901306	999.0	-3.4331684	0.014653966	-3.3601844	-3.4572194	20000	-0.08722384	0.7223747	0.0	-0.0011746287	0.91780853	1.2218953e-09	3.3384830951690674
5	-36.957443	0.4324234	-36.29341	-37.423023	999.0	-3.4267545	0.046275355	-3.1207516	-3.4828026	24000	-0.072086565	0.6239624	0.0	-0.01154381	0.9175338	-9.685754e-10	3.9962809085845947
6	-37.049778	1.2982557	-35.196262	-38.833538	999.0	-3.3271158	0.0222987	-3.2202573	-3.359378	28000	-0.07825047	0.5830791	0.0	-0.0043688565	0.9172609	7.1525574e-10	4.686215162277222
7	-36.348255	0.98944074	-35.102093	-37.762714	999.0	-3.3356166	0.047236063	-3.1286466	-3.3809469	32000	-0.08296941	0.6525234	0.0	-0.024809614	0.91698843	1.0058284e-09	5.290472745895386
8	-35.42316	1.3096913	-34.277462	-37.624264	999.0	-3.2861137	0.06095669	-3.0509093	-3.3606045	36000	-0.098729804	0.59848255	0.0	-0.010632269	0.9167135	1.0728836e-09	5.956583023071289
9	-36.846886	1.1610947	-35.29184	-38.34511	999.0	-3.1990356	0.06569126	-2.8290915	-3.2970204	40000	-0.09067243	0.62149197	0.0	-0.016429916	0.91643494	-1.3187528e-09	6.622567176818848
